lr,n_hidden,n_layers,train_auc,valid_auc,test_auc,external_prime_auc
5e-05,10,1,0.7153857444223259,0.6387136467467571,0.6461328749143977,0.5524134395856026
5e-05,10,2,0.7158689392705876,0.636994338432862,0.6428462106814651,0.5542216553049425
5e-05,10,3,0.7162293815942549,0.6378026029864073,0.6478645230660928,0.5568919158472408
5e-05,25,1,0.7749057390190656,0.6296478004845274,0.6372931864258152,0.5489464189858215
5e-05,25,2,0.786453638310378,0.6193308831624333,0.6339856112948661,0.5495006980081438
5e-05,25,3,0.7976256163438847,0.6107500582547113,0.6345819727295148,0.5494929635412626
5e-05,40,1,0.8184807231214116,0.627679323828259,0.6426857189624405,0.5561145469413226
5e-05,40,2,0.8430806536197883,0.6133457316507644,0.6376932902100803,0.5577664237921879
5e-05,40,3,0.8523318309839293,0.6024630699836965,0.6327367956355994,0.5563965067481941
0.0001,10,1,0.7486299462538472,0.6312716511174317,0.6471139897643268,0.558058574034097
0.0001,10,2,0.7512919327735191,0.6234185814845076,0.6427513210649539,0.5554668311603268
0.0001,10,3,0.7620627065746163,0.6297162614048641,0.6463569109241234,0.5654341763144671
0.0001,25,1,0.819995160213785,0.6217891442888683,0.6403227667219972,0.55277127781164
0.0001,25,2,0.8353378611731483,0.6027172658617077,0.6328188688371851,0.5533382398933978
0.0001,25,3,0.8419044876733391,0.5999473209023336,0.6329940530661115,0.5598806091563479
0.0001,40,1,0.864262944797662,0.6199307534253707,0.6418463331050649,0.5568807723499334
0.0001,40,2,0.8988667546543916,0.5966637934269776,0.6320962011947662,0.5540031474514895
0.0001,40,3,0.9087285523991375,0.5909449103915558,0.637170515295273,0.55611927559643
